AGE,SEXE,NB_POLICE,FORMATION,STATUT_MARITAL,LOISIR,EMPLOI,V_MARQUE,V_ANNEE,S_HEURE,NB_VEH_IMPLIQUE,NB_BLESSE,NB_TEMOIN,TYPE_SINISTRE,TYPE_COLLISION,SEV_SINISTRE,AUTORITE,DOMMAGE_MATERIEL,PROCES_VERB,FRAUDE
94,M,4,Primaire,Veuve,camping,ingénieur,Suburu,2020,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Aucun,?,O,N
24,M,1,Aucun,Célibataire,cross-fit,employé,Suburu,2017,10,1,0,0,Stationnement,Collision arrière,Perte totale,Aucun,?,N,N
26,M,8,Baccalauréat,Célibataire,jeux-vidéo,chauffeur,Saab,2005,16,2,0,3,Vol,Collision frontale,Bris,Pompier,OUI,N,N
20,M,4,Primaire,Veuve,camping,agriculteur,Chevrolet,2022,7,2,0,1,Collision multiple,Collision coté,Dommage majeur,Autre,?,O,N
45,M,1,Aucun,Célibataire,cross-fit,sans-emploi,BMW,2017,4,1,0,2,Collision isolée,?,Bris,Autre,?,N,N
39,M,8,Primaire,Célibataire,jeux-vidéo,prof-médicale,BMW,2005,18,1,2,1,Collision multiple,Collision arrière,Perte totale,Autre,?,N,N
41,M,4,Primaire,Veuve,camping,professeur,Nissan,2022,1,1,0,3,Vol,Collision frontale,Dommage mineur,Pompier,?,O,N
35,M,1,Aucun,Marié,équitation,ouvrier,Nissan,2017,15,1,2,2,Collision isolée,?,Dommage majeur,Pompier,?,O,N
91,M,7,Primaire,Veuf,musique,cadre,Nissan,2022,18,1,2,1,Collision multiple,Collision coté,Perte totale,Pompier,?,O,N
85,M,3,Secondaire,Marié,jeux-plateau,professeur,Nissan,2019,9,1,2,3,Stationnement,Collision frontale,Dommage mineur,Autre,NON,O,N
87,M,1,Aucun,Marié,équitation,contremaître,Mercedes,2015,16,1,2,2,Collision isolée,?,Dommage majeur,Autre,?,N,N
81,M,6,Professionel,Veuf,musique,sécurité,Volkswagen,2005,6,1,2,1,Collision multiple,Collision arrière,Perte totale,Pompier,NON,N,N
106,M,3,Secondaire,Marié,jeux-plateau,technicien,Volkswagen,2019,3,1,2,1,Collision multiple,Collision coté,Dommage majeur,Pompier,NON,O,N
101,F,1,Professionel,Marié,golf,commercant,Mercedes,2022,17,3,1,0,Stationnement,Collision arrière,Dommage mineur,Pompier,NON,O,N
61,F,6,Secondaire,Concubinage,marche,ingénieur,Toyota,2019,21,3,1,3,Vol,Collision frontale,Bris,Pompier,NON,O,N
55,F,3,Baccalauréat,Divorcé,basketball,employé,Toyota,2009,17,3,1,0,Stationnement,Collision arrière,Dommage mineur,Pompier,NON,O,O
110,F,9,Secondaire,Concubinage,exercise,employé,Toyota,2020,14,3,1,1,Collision multiple,Collision arrière,Perte totale,Pompier,OUI,N,N
105,M,5,Baccalauréat,Divorcé,saut-élastique,ingénieur,Suburu,2017,5,2,1,3,Vol,Collision frontale,Dommage mineur,Autre,OUI,O,N
106,F,3,Professionel,Divorcé,basketball,agriculteur,Suburu,2005,11,3,1,2,Collision isolée,Collision coté,Dommage majeur,Autre,OUI,O,N
36,F,9,3ème cycle,Concubinage,exercise,sans-emploi,Suburu,2019,16,2,1,3,Vol,?,Bris,Aucun,OUI,N,N
31,M,5,Baccalauréat,Célibataire,saut-élastique,agriculteur,Chevrolet,2017,23,2,0,1,Collision multiple,Collision coté,Perte totale,Pompier,OUI,O,N
25,M,3,Primaire,Divorcé,danse,professeur,Chevrolet,2005,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Pompier,?,O,N
27,M,8,3ème cycle,Veuve,exercise,ouvrier,Peugeot,2022,20,2,1,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,OUI,N,N
52,M,5,Baccalauréat,Célibataire,jeu-échecs,professeur,Peugeot,2016,17,2,0,3,Vol,Collision frontale,Bris,SAMU-SMUR,OUI,O,N
46,M,1,Primaire,Veuve,danse,chauffeur,Peugeot,2005,7,2,0,1,Collision isolée,Collision coté,Dommage majeur,Pompier,?,O,N
48,M,8,3ème cycle,Veuve,exercise,sécurité,Nissan,2020,14,2,0,0,Stationnement,Collision arrière,Dommage mineur,Police,OUI,N,N
42,M,4,Aucun,Célibataire,jeu-échecs,prof-médicale,Accura,2018,4,2,0,3,Vol,?,Bris,SAMU-SMUR,?,N,N
67,M,1,Primaire,Veuve,danse,cadre,Accura,2005,1,2,0,3,Vol,Collision frontale,Dommage mineur,SAMU-SMUR,?,O,N
62,M,8,Aucun,Veuve,parachutisme,employé,Volkswagen,2020,15,1,2,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,?,N,N
63,M,4,Aucun,Célibataire,jeu-échecs,contremaître,Honda,2018,22,2,0,0,Collision multiple,Collision arrière,Perte totale,Police,?,N,N
88,M,1,Primaire,Veuve,danse,ingénieur,Ford,2005,19,1,0,1,Collision multiple,Collision coté,Dommage majeur,Police,?,O,N
18,M,7,Aucun,Marié,jeux-vidéo,employé,Ford,2016,16,1,2,2,Collision isolée,?,Dommage majeur,Police,?,N,N
66,F,3,Secondaire,Marié,jeux-plateau,technicien,Mercedes,2020,9,1,2,0,Collision multiple,Collision coté,Dommage mineur,Pompier,NON,O,N
91,F,9,Professionel,Divorcé,lecture,contremaître,Toyota,2016,0,3,1,2,Collision isolée,?,Dommage majeur,Pompier,NON,N,N
92,M,7,Professionel,Veuf,musique,commercant,Toyota,2005,14,1,2,1,Collision multiple,Collision arrière,Perte totale,Pompier,NON,N,N
45,F,3,Professionel,Divorcé,basketball,ingénieur,Toyota,2017,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,Pompier,OUI,O,O
94,F,9,Secondaire,Concubinage,exercise,agriculteur,Honda,2019,11,2,1,1,Vol,Collision coté,Perte totale,Aucun,OUI,O,N
23,M,6,3ème cycle,Divorcé,saut-élastique,agriculteur,Honda,2015,1,2,0,0,Stationnement,Collision frontale,Dommage mineur,Aucun,?,O,N
25,M,2,3ème cycle,Concubinage,chasse,commercant,Suburu,2005,8,2,1,2,Collision isolée,?,Bris,Autre,OUI,N,N
50,M,8,Baccalauréat,Célibataire,golf,agriculteur,Suburu,2018,5,2,0,3,Vol,Collision frontale,Bris,Autre,OUI,O,N
44,M,5,Primaire,Veuve,camping,artisant,Suburu,2015,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,Autre,?,O,N
46,M,2,3ème cycle,Veuve,chasse,ouvrier,Saab,1999,2,2,0,0,Stationnement,Collision arrière,Dommage mineur,Pompier,OUI,N,N
29,M,7,Primaire,Veuve,parachutisme,chauffeur,Ford,2022,9,1,2,0,Stationnement,Collision arrière,Dommage mineur,Police,?,O,N
54,M,4,Aucun,Célibataire,jeu-échecs,ouvrier,Ford,2019,0,2,0,2,Collision isolée,?,Bris,SAMU-SMUR,?,N,N
49,M,1,Primaire,Veuf,lecture,chauffeur,Saab,2016,6,1,2,1,Collision multiple,Collision coté,Perte totale,Aucun,?,O,N
43,M,7,Secondaire,Veuve,parachutisme,cadre,Saab,2022,21,1,2,2,Stationnement,Collision frontale,Dommage mineur,Police,?,O,O
68,M,4,Professionel,Veuf,kayak,ouvrier,Saab,2017,0,1,2,3,Vol,?,Bris,Police,NON,N,O
93,F,1,Secondaire,Concubinage,équitation,chauffeur,Renault,2009,15,3,1,1,Collision multiple,Collision coté,Perte totale,Police,NON,O,N
53,F,5,Baccalauréat,Divorcé,saut-élastique,chauffeur,Toyota,2020,11,3,1,1,Collision isolée,Collision coté,Dommage majeur,Autre,OUI,O,N
60,M,2,3ème cycle,Veuve,danse,sans-emploi,Suburu,2015,2,2,0,0,Stationnement,Collision arrière,Dommage mineur,Autre,OUI,N,N
84,M,8,Baccalauréat,Célibataire,jeux-vidéo,chauffeur,Suburu,2022,22,2,0,1,Collision multiple,Collision coté,Perte totale,Autre,OUI,N,O
86,F,5,Baccalauréat,Divorcé,saut-élastique,cadre,Suburu,2019,5,2,1,3,Vol,Collision frontale,Dommage mineur,Pompier,OUI,O,N
81,M,2,3ème cycle,Veuve,danse,prof-médicale,Chevrolet,2016,19,2,0,2,Collision isolée,?,Dommage majeur,Pompier,OUI,O,N
105,M,8,Baccalauréat,Célibataire,jeux-vidéo,prof-médicale,Chevrolet,2022,16,2,0,3,Vol,?,Bris,Pompier,?,N,O
100,M,5,Primaire,Divorcé,saut-élastique,ingénieur,BMW,2019,7,1,0,1,Collision multiple,Collision coté,Dommage majeur,Autre,?,O,N
101,M,2,3ème cycle,Veuve,danse,technicien,Peugeot,2016,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,OUI,O,N
96,M,7,Aucun,Célibataire,jeux-vidéo,sécurité,Nissan,2005,4,1,0,2,Collision isolée,?,Bris,Pompier,?,N,N
26,M,4,Primaire,Veuf,camping,technicien,Nissan,2019,1,1,2,3,Vol,Collision frontale,Bris,Pompier,?,O,N
27,M,2,3ème cycle,Veuve,danse,artisant,Nissan,2015,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Police,?,O,N
22,M,7,Aucun,Marié,jeux-vidéo,employé,Volkswagen,2005,22,1,0,0,Stationnement,Collision arrière,Dommage mineur,SAMU-SMUR,?,N,N
23,M,5,Baccalauréat,Célibataire,jeu-échecs,sans-emploi,Volkswagen,2020,12,1,0,3,Vol,?,Bris,SAMU-SMUR,NON,N,N
41,M,1,Primaire,Veuve,danse,chauffeur,Volkswagen,2015,9,1,2,0,Stationnement,Collision frontale,Dommage mineur,Pompier,NON,O,O
43,M,7,Aucun,Marié,jeux-vidéo,sans-emploi,Ford,1999,16,1,2,2,Collision isolée,?,Dommage majeur,Police,?,N,N
37,M,5,Professionel,Veuf,kayak,commercant,Ford,2020,6,1,2,1,Collision multiple,Collision arrière,Perte totale,SAMU-SMUR,NON,N,N
39,M,1,Primaire,Veuf,danse,professeur,Ford,2015,13,1,2,1,Vol,Collision frontale,Bris,Aucun,?,O,N
87,F,6,Professionel,Veuf,musique,sans-emploi,Fiat,2021,0,3,2,2,Collision isolée,?,Bris,SAMU-SMUR,NON,N,N
88,M,4,Primaire,Veuf,kayak,prof-médicale,Fiat,2017,6,1,2,1,Collision multiple,Collision arrière,Perte totale,Aucun,?,N,N
83,M,9,Secondaire,Marié,équitation,professeur,Renault,2015,21,3,2,3,Vol,Collision frontale,Dommage mineur,Police,NON,O,N
108,F,6,Professionel,Divorcé,musique,prof-médicale,Renault,2021,18,3,1,0,Stationnement,Collision arrière,Dommage mineur,Police,NON,N,O
38,F,3,Secondaire,Concubinage,chasse,cadre,Renault,2015,14,3,1,1,Collision multiple,Collision coté,Perte totale,Police,NON,O,N
32,F,9,Baccalauréat,Marié,golf,ingénieur,Renault,1999,5,3,1,3,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,OUI,O,N
34,F,6,Professionel,Divorcé,saut-élastique,contremaître,Audi,2020,12,3,1,2,Collision isolée,?,Dommage majeur,Aucun,NON,N,N
58,F,3,Secondaire,Concubinage,chasse,ingénieur,Audi,2015,8,3,1,3,Vol,Collision frontale,Bris,Aucun,NON,N,O
83,F,9,Professionel,Divorcé,golf,ingénieur,Peugeot,2021,5,3,1,0,Stationnement,Collision frontale,Dommage mineur,Aucun,OUI,O,O
108,F,5,3ème cycle,Concubinage,cinéma,employé,Peugeot,2015,2,3,1,0,Collision multiple,Collision arrière,Perte totale,Police,OUI,N,N
103,M,2,Baccalauréat,Célibataire,basketball,ingénieur,Accura,1999,17,2,0,3,Vol,Collision frontale,Bris,Police,OUI,O,N
33,M,8,3ème cycle,Veuve,parachutisme,employé,Accura,2018,13,2,0,0,Stationnement,Collision arrière,Dommage mineur,Police,OUI,O,N
27,M,5,Aucun,Concubinage,cinéma,sans-emploi,Accura,2005,10,2,0,1,Collision isolée,?,Perte totale,Police,?,N,N
52,M,2,Primaire,Divorcé,danse,chauffeur,Volkswagen,2021,1,1,0,3,Vol,Collision frontale,Dommage mineur,SAMU-SMUR,?,O,N
53,M,8,3ème cycle,Veuve,parachutisme,agriculteur,Honda,2018,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
37,M,4,Primaire,Veuve,camping,agriculteur,Volkswagen,2020,1,1,0,3,Vol,Collision frontale,Bris,SAMU-SMUR,?,O,N
31,M,1,Aucun,Marié,équitation,artisant,Volkswagen,2016,15,1,2,2,Collision isolée,Collision coté,Dommage majeur,SAMU-SMUR,NON,O,N
33,M,7,Aucun,Célibataire,jeux-vidéo,ouvrier,Toyota,2005,22,1,0,0,Stationnement,Collision arrière,Perte totale,Police,?,N,N
58,M,4,Primaire,Veuf,camping,professeur,Toyota,2018,3,1,2,1,Collision multiple,Collision coté,Perte totale,Pompier,?,O,N
52,M,1,Secondaire,Marié,équitation,chauffeur,Ford,2016,9,1,2,0,Stationnement,Collision frontale,Dommage mineur,Police,NON,O,N
47,F,7,Professionel,Marié,jeux-vidéo,sécurité,Fiat,2005,0,3,1,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,NON,N,N
48,M,4,Primaire,Veuf,kayak,prof-médicale,Saab,2021,6,1,2,1,Collision multiple,Collision arrière,Perte totale,Aucun,NON,N,N
73,M,9,Secondaire,Marié,équitation,cadre,Saab,2016,3,1,2,1,Collision isolée,Collision coté,Dommage majeur,Police,NON,O,N
68,F,6,Professionel,Divorcé,saut-élastique,prof-médicale,Renault,1999,18,3,1,0,Stationnement,Collision arrière,Dommage mineur,Police,NON,N,O
92,F,3,Secondaire,Concubinage,chasse,cadre,Renault,2018,14,3,1,1,Collision multiple,Collision coté,Perte totale,Police,NON,N,N
22,F,9,Professionel,Divorcé,golf,cadre,Renault,2005,11,3,1,2,Collision isolée,Collision coté,Dommage majeur,Police,OUI,O,N
47,F,5,3ème cycle,Concubinage,cinéma,sécurité,Renault,2019,8,3,1,2,Vol,?,Bris,SAMU-SMUR,OUI,N,N
49,F,3,Secondaire,Concubinage,jeux-plateau,artisant,Peugeot,2015,23,2,0,1,Collision multiple,Collision coté,Perte totale,SAMU-SMUR,OUI,O,N
43,F,8,Baccalauréat,Divorcé,golf,ingénieur,Audi,2005,5,3,1,0,Stationnement,Collision frontale,Dommage mineur,Police,OUI,O,O
68,F,5,3ème cycle,Concubinage,cinéma,employé,Peugeot,2016,16,2,0,3,Vol,?,Bris,SAMU-SMUR,?,N,N
93,M,2,Baccalauréat,Divorcé,basketball,artisant,Accura,2009,23,2,1,1,Collision multiple,Collision coté,Dommage majeur,Police,OUI,O,N
87,M,8,3ème cycle,Veuve,parachutisme,ingénieur,Accura,2021,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Police,?,O,N
89,F,5,3ème cycle,Concubinage,cinéma,sans-emploi,Volkswagen,2018,20,2,1,2,Collision isolée,?,Bris,Aucun,OUI,N,N
19,M,2,Baccalauréat,Célibataire,basketball,chauffeur,Volkswagen,2005,17,2,0,3,Vol,Collision frontale,Bris,SAMU-SMUR,OUI,O,N
108,M,8,Primaire,Veuve,parachutisme,agriculteur,Honda,2021,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
103,M,5,3ème cycle,Veuve,cinéma,prof-médicale,Honda,2016,4,2,0,2,Vol,?,Bris,Police,?,N,O
33,M,2,Primaire,Célibataire,lecture,cadre,Ford,1999,19,1,2,1,Collision multiple,Collision coté,Perte totale,Police,?,O,N
57,M,7,Aucun,Marié,jeux-vidéo,ouvrier,Ford,2017,22,1,2,0,Stationnement,Collision arrière,Dommage mineur,Police,?,N,N
82,M,4,Primaire,Veuf,kayak,sans-emploi,Ford,2022,12,1,2,3,Vol,?,Bris,Police,NON,N,O
107,M,9,Secondaire,Marié,équitation,chauffeur,Ford,2019,9,1,2,3,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,NON,O,N
109,M,6,Aucun,Veuf,musique,ouvrier,Fiat,2009,6,3,2,0,Stationnement,Collision arrière,Perte totale,SAMU-SMUR,NON,N,N
38,M,4,Primaire,Veuf,kayak,technicien,Toyota,2017,3,1,2,3,Vol,Collision frontale,Bris,SAMU-SMUR,NON,O,N
87,F,9,Professionel,Divorcé,golf,prof-médicale,Suburu,1999,14,3,2,0,Collision isolée,?,Dommage majeur,Autre,NON,N,N
111,F,6,Secondaire,Concubinage,cinéma,cadre,Fiat,2020,20,3,1,3,Vol,?,Bris,SAMU-SMUR,NON,N,O
41,F,3,Professionel,Divorcé,basketball,cadre,Fiat,2015,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,OUI,O,O
89,M,9,Baccalauréat,Concubinage,jeux-vidéo,contremaître,Suburu,2018,4,2,0,3,Vol,?,Bris,Autre,OUI,N,O
91,F,5,Baccalauréat,Divorcé,saut-élastique,technicien,Chevrolet,2016,11,2,1,1,Collision multiple,Collision coté,Dommage majeur,Pompier,OUI,O,N
85,M,2,3ème cycle,Veuve,danse,sécurité,Chevrolet,1999,1,2,0,0,Stationnement,Collision arrière,Dommage mineur,Pompier,OUI,O,N
87,F,8,3ème cycle,Concubinage,exercise,employé,Chevrolet,2021,8,2,1,2,Collision isolée,?,Bris,SAMU-SMUR,OUI,N,N
17,M,5,Baccalauréat,Divorcé,saut-élastique,artisant,BMW,2015,5,2,1,3,Vol,Collision frontale,Bris,SAMU-SMUR,OUI,O,N
106,M,2,3ème cycle,Veuve,danse,ingénieur,Peugeot,2019,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,SAMU-SMUR,?,O,N
66,M,8,Baccalauréat,Célibataire,jeux-vidéo,agriculteur,BMW,2015,6,1,0,1,Collision multiple,Collision coté,Perte totale,Autre,?,N,O
61,M,5,Primaire,Veuve,camping,artisant,BMW,2021,3,1,2,2,Collision isolée,Collision coté,Dommage majeur,Autre,NON,O,N
86,M,1,Aucun,Célibataire,cross-fit,commercant,Nissan,2019,10,1,0,0,Stationnement,Collision arrière,Perte totale,Pompier,?,N,N
80,M,8,Primaire,Veuf,musique,employé,Nissan,2015,0,1,2,3,Vol,?,Bris,Pompier,NON,N,O
82,M,4,Primaire,Veuve,camping,chauffeur,Volkswagen,2005,7,1,0,1,Collision multiple,Collision coté,Dommage majeur,SAMU-SMUR,?,O,N
107,M,1,Aucun,Marié,cross-fit,ouvrier,Mercedes,2018,4,1,2,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,?,N,N
101,M,7,Professionel,Veuf,musique,sans-emploi,Volkswagen,2015,18,1,2,1,Collision multiple,Collision arrière,Perte totale,SAMU-SMUR,NON,N,N
103,M,4,Primaire,Veuf,camping,cadre,Toyota,1999,9,3,0,3,Vol,Collision frontale,Bris,Pompier,?,O,N
97,M,1,Aucun,Marié,équitation,professeur,Toyota,2017,5,3,1,0,Collision isolée,Collision coté,Dommage majeur,Police,NON,N,N
27,M,6,Professionel,Veuf,musique,prof-médicale,Ford,2015,12,1,2,2,Vol,?,Bris,SAMU-SMUR,NON,N,N
22,F,4,Secondaire,Veuf,jeux-plateau,professeur,Fiat,2022,3,3,1,1,Collision multiple,Collision coté,Perte totale,SAMU-SMUR,NON,O,N
23,M,9,Secondaire,Marié,équitation,technicien,Saab,2020,9,1,2,0,Stationnement,Collision frontale,Dommage mineur,Police,NON,O,N
18,F,6,Professionel,Veuf,musique,contremaître,Fiat,2015,6,1,2,0,Stationnement,Collision arrière,Perte totale,Police,NON,N,N
43,F,3,Secondaire,Concubinage,chasse,technicien,Renault,2022,20,3,1,3,Vol,Collision frontale,Bris,Police,NON,N,N
44,M,9,Secondaire,Marié,équitation,artisant,Renault,2019,11,1,2,1,Collision isolée,Collision coté,Dommage majeur,SAMU-SMUR,NON,O,N
39,F,6,Professionel,Divorcé,saut-élastique,employé,Audi,2016,17,3,1,0,Stationnement,Collision arrière,Dommage mineur,Aucun,NON,N,O
87,F,3,Secondaire,Concubinage,jeux-plateau,agriculteur,Peugeot,2020,5,2,0,3,Vol,Collision frontale,Bris,SAMU-SMUR,OUI,O,N
88,F,9,Baccalauréat,Divorcé,golf,artisant,Audi,2017,11,3,1,2,Collision isolée,Collision coté,Dommage majeur,Aucun,OUI,O,N
83,M,6,3ème cycle,Divorcé,cinéma,employé,Accura,2009,2,2,1,0,Stationnement,Collision arrière,Dommage mineur,Police,OUI,N,N
84,F,3,Secondaire,Concubinage,chasse,sans-emploi,Mercedes,2022,8,3,1,3,Vol,?,Bris,Autre,OUI,N,N
109,F,8,Baccalauréat,Divorcé,golf,chauffeur,Accura,2017,5,3,1,3,Stationnement,Collision frontale,Dommage mineur,Aucun,OUI,O,O
39,F,5,3ème cycle,Concubinage,cinéma,ouvrier,Accura,2022,2,2,1,0,Stationnement,Collision arrière,Perte totale,Aucun,OUI,N,N
34,M,2,Baccalauréat,Célibataire,cross-fit,chauffeur,Honda,2019,16,2,0,3,Vol,Collision frontale,Bris,Aucun,OUI,N,O
35,F,8,Baccalauréat,Divorcé,golf,cadre,Honda,2016,7,2,0,1,Collision multiple,Collision coté,Dommage majeur,Police,?,O,N
53,M,5,3ème cycle,Concubinage,cinéma,sécurité,Ford,2022,4,1,0,2,Collision isolée,?,Bris,Police,?,N,N
78,M,2,Primaire,Célibataire,danse,technicien,Ford,2016,1,1,2,3,Vol,Collision frontale,Bris,Police,?,O,N
79,M,8,Primaire,Veuve,parachutisme,cadre,Suburu,2009,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
104,M,4,Aucun,Célibataire,jeu-échecs,sécurité,Suburu,2020,4,2,0,2,Collision isolée,?,Bris,Aucun,?,N,N
99,M,1,Primaire,Veuf,lecture,cadre,Ford,1999,18,1,2,2,Collision multiple,Collision coté,Perte totale,Aucun,?,O,N
59,M,7,Aucun,Marié,jeux-vidéo,contremaître,Fiat,2019,22,1,2,0,Stationnement,Collision arrière,Dommage mineur,Aucun,?,N,N
53,M,4,Professionel,Veuf,kayak,sécurité,Saab,2017,12,1,2,3,Vol,?,Bris,Aucun,NON,N,O
78,M,9,Secondaire,Marié,équitation,technicien,Saab,1999,9,1,2,3,Stationnement,Collision frontale,Dommage mineur,Police,NON,O,N
73,F,7,Aucun,Marié,marche,commercant,Renault,2019,23,3,1,2,Collision isolée,?,Dommage majeur,Police,NON,N,N
74,M,3,Professionel,Veuf,kayak,employé,BMW,2017,6,1,2,0,Collision multiple,Collision arrière,Perte totale,Aucun,NON,N,N
99,M,9,Secondaire,Marié,équitation,artisant,Audi,1999,3,3,2,1,Collision multiple,Collision coté,Dommage majeur,Aucun,NON,O,N
93,F,6,Professionel,Divorcé,saut-élastique,employé,Audi,2019,17,3,1,0,Stationnement,Collision arrière,Dommage mineur,Aucun,NON,O,O
23,F,3,Secondaire,Concubinage,chasse,employé,Audi,2009,14,3,1,1,Collision multiple,Collision arrière,Perte totale,Aucun,OUI,N,N
25,F,9,Secondaire,Marié,équitation,chauffeur,Accura,2022,21,3,2,3,Vol,Collision frontale,Bris,Police,NON,O,N
73,F,5,3ème cycle,Concubinage,cinéma,commercant,Audi,2015,8,2,1,2,Collision isolée,?,Bris,Police,OUI,N,N
74,F,3,Secondaire,Concubinage,chasse,professeur,Accura,2022,22,2,0,1,Collision multiple,Collision coté,Perte totale,Police,OUI,N,N
69,F,8,Baccalauréat,Divorcé,golf,chauffeur,Mercedes,2020,5,3,1,3,Vol,Collision frontale,Dommage mineur,Aucun,OUI,O,N
64,M,6,3ème cycle,Divorcé,camping,sécurité,Honda,2015,2,2,1,0,Collision isolée,?,Dommage majeur,Aucun,OUI,N,N
88,M,3,Baccalauréat,Célibataire,cross-fit,sans-emploi,Honda,2022,16,2,0,3,Vol,?,Bris,Aucun,?,N,N
90,F,8,Baccalauréat,Divorcé,golf,cadre,Ford,2020,23,2,1,1,Collision multiple,Collision coté,Dommage majeur,Autre,OUI,O,N
84,M,5,3ème cycle,Veuve,camping,professeur,Suburu,2016,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Autre,OUI,O,N
109,M,2,Aucun,Célibataire,cross-fit,prof-médicale,Suburu,2022,10,2,0,1,Collision multiple,Collision arrière,Perte totale,Autre,?,N,N
111,M,8,Baccalauréat,Célibataire,golf,ingénieur,Saab,2019,1,1,1,3,Vol,Collision frontale,Bris,Aucun,?,O,N
105,M,5,3ème cycle,Veuve,camping,technicien,Chevrolet,2016,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Pompier,?,O,N
100,M,2,Aucun,Concubinage,cross-fit,commercant,BMW,2005,22,1,0,0,Stationnement,Collision arrière,Dommage mineur,Autre,?,N,O
30,M,8,Primaire,Célibataire,parachutisme,technicien,BMW,2018,19,1,2,1,Collision multiple,Collision coté,Perte totale,Autre,?,O,N
31,M,4,Primaire,Veuve,camping,artisant,Peugeot,2016,1,2,0,0,Stationnement,Collision frontale,Dommage mineur,Pompier,?,O,N
26,M,1,Aucun,Marié,cross-fit,employé,Nissan,1999,16,1,2,2,Collision isolée,?,Dommage majeur,Pompier,?,N,N
93,M,6,Professionel,Veuf,musique,employé,Fiat,2019,12,1,2,2,Vol,?,Bris,Police,NON,N,O
23,M,3,Secondaire,Marié,jeux-plateau,artisant,Chevrolet,2005,9,3,2,3,Vol,Collision frontale,Dommage mineur,Police,NON,O,N
17,F,9,Professionel,Divorcé,golf,employé,Renault,2021,23,3,1,2,Collision isolée,Collision coté,Dommage majeur,Police,NON,O,N
19,M,6,Professionel,Veuf,musique,sans-emploi,Renault,2018,14,2,1,0,Stationnement,Collision arrière,Perte totale,SAMU-SMUR,OUI,N,N
108,F,3,Secondaire,Concubinage,chasse,agriculteur,Peugeot,2005,20,3,1,1,Vol,Collision frontale,Bris,Aucun,NON,O,N
38,F,9,Professionel,Divorcé,golf,agriculteur,Audi,2021,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,Aucun,OUI,O,O
63,F,5,3ème cycle,Concubinage,cinéma,sans-emploi,Audi,2016,14,3,1,0,Collision multiple,Collision arrière,Perte totale,Police,OUI,N,N
58,M,2,Baccalauréat,Célibataire,basketball,agriculteur,Accura,1999,5,2,0,3,Vol,Collision frontale,Bris,Police,OUI,O,N
59,F,8,Baccalauréat,Divorcé,golf,professeur,Accura,2020,11,3,1,2,Collision isolée,Collision coté,Dommage majeur,Aucun,OUI,O,N
107,M,5,Baccalauréat,Célibataire,jeu-échecs,sans-emploi,Accura,2005,22,2,0,1,Collision multiple,Collision arrière,Perte totale,Police,?,N,N
109,M,2,Baccalauréat,Divorcé,basketball,cadre,Volkswagen,2021,13,1,1,3,Vol,Collision frontale,Dommage mineur,SAMU-SMUR,OUI,O,N
103,M,8,3ème cycle,Veuve,parachutisme,professeur,Honda,2018,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,OUI,O,N
33,M,5,Aucun,Célibataire,jeu-échecs,prof-médicale,Honda,2005,16,2,0,3,Vol,?,Bris,Aucun,?,N,N
28,M,2,Primaire,Célibataire,danse,ingénieur,Ford,2021,7,1,2,1,Collision multiple,Collision coté,Perte totale,Police,?,O,N
29,M,8,3ème cycle,Veuve,parachutisme,technicien,Suburu,2018,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Autre,?,O,N
24,M,4,Aucun,Marié,jeu-échecs,sécurité,Saab,2015,4,1,0,2,Collision isolée,?,Dommage majeur,Aucun,?,N,N
25,M,2,Baccalauréat,Célibataire,cross-fit,employé,Saab,2020,1,1,2,3,Collision multiple,Collision arrière,Bris,Aucun,?,O,N
50,M,7,Primaire,Veuve,parachutisme,artisant,Saab,2017,15,2,0,1,Collision isolée,Collision coté,Dommage majeur,Police,?,O,N
45,M,4,Aucun,Marié,jeu-échecs,employé,BMW,2009,22,1,2,0,Stationnement,Collision arrière,Dommage mineur,Autre,?,N,N
70,M,1,Primaire,Veuf,lecture,artisant,BMW,2020,18,1,2,1,Collision multiple,Collision coté,Perte totale,Autre,?,N,N
